episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
5745525,2019-06-11 09:16:21,1,9,21667900,63324809,2019-06-11 09:16:21,,The Good Place
5755261,2021-02-26 03:06:20,3,3,21667900,63840842,2021-02-26 03:06:20,,The Fall
5782727,2019-06-15 02:15:01,1,1,21667900,63955307,2019-06-15 02:15:01,,Beyond
5782728,2019-06-15 16:12:19,1,2,21667900,63955307,2019-06-15 16:12:19,,Beyond
5782729,2019-06-16 04:39:25,1,3,21667900,63955307,2019-06-16 04:39:25,,Beyond
5782730,2019-06-16 09:25:52,1,4,21667900,63955307,2019-06-16 09:25:52,,Beyond
5782731,2019-06-17 06:17:23,1,5,21667900,63955307,2019-06-17 06:17:23,,Beyond
5818942,2019-06-11 09:40:08,1,10,21667900,63324809,2019-06-11 09:40:08,,The Good Place
5833346,2018-10-13 10:09:24,3,9,21667900,64353155,2018-10-13 10:09:24,,The Affair
5845667,2020-08-19 08:50:04,1,1,21667900,64643567,2020-08-19 08:50:04,,Scum's Wish
5855690,2019-06-11 10:54:19,1,11,21667900,63324809,2019-06-11 10:54:19,,The Good Place
5904846,2019-06-11 11:16:32,1,12,21667900,63324809,2019-06-11 11:16:32,,The Good Place
5904847,2019-06-11 11:41:52,1,13,21667900,63324809,2019-06-11 11:41:52,,The Good Place
5906286,2020-08-19 08:51:08,1,2,21667900,64643567,2020-08-19 08:51:05,,Scum's Wish
5906288,2020-08-19 09:50:42,1,4,21667900,64643567,2020-08-19 09:50:42,,Scum's Wish
5936411,2019-06-03 08:32:07,5,1,21667900,64818234,2019-06-03 08:32:07,,House of Cards (US)
5937312,2019-06-14 11:22:50,5,2,21667900,64818234,2019-06-14 11:22:50,,House of Cards (US)
5937322,2020-08-05 07:19:24,5,12,21667900,64818234,2020-08-05 07:19:24,,House of Cards (US)
5937323,2020-08-05 09:53:11,5,13,21667900,64818236,2020-08-05 09:53:11,,House of Cards (US)
5964888,2019-06-14 12:40:36,1,1,21667900,64094303,2019-06-14 12:40:36,,Babylon Berlin
5966086,2018-12-27 09:45:01,3,1,21667900,64577252,2018-12-27 09:44:54,,Poldark (2015)
5972910,2021-11-20 09:06:09,3,5,21667900,63359258,2021-11-20 09:06:09,,The Leftovers
5985411,2018-11-18 06:14:39,4,17,21667900,63532441,2018-11-18 06:14:39,,The Fosters (2013)
5995992,2018-11-19 05:48:01,5,1,21667900,63532427,2018-11-19 05:48:01,,The Fosters (2013)
6023980,2024-05-15 00:37:23,3,2,21667900,65235974,2024-05-15 00:37:23,,Better Call Saul
6023992,2024-05-16 03:47:21,3,5,21667900,65235974,2024-05-16 03:47:21,,Better Call Saul
6024003,2024-05-17 16:51:41,3,9,21667900,65235968,2024-05-17 16:51:39,,Better Call Saul
6024007,2024-05-17 18:21:50,3,10,21667900,65235955,2024-05-17 18:21:50,,Better Call Saul
